OrderID;ProductID;UnitPrice;Quantity;Discount
10748;19;6.102;14;0.34
10749;69;3.445;16;0.33
10750;48;6.655;17;0.74
10751;68;4.302;6;0.36
10752;28;14.08;5;0.79
10753;33;6.64;16;0.87
10754;39;6.980;22;0.61
10755;16;12.48;7;0.82
10756;35;3.52;25;0.44
10757;44;3.745;9;0.38
10758;67;11.41;17;0.48
10759;26;1.32;16;0.4
10760;31;3.633;13;0.2
10761;29;10.99;18;0.79
10762;48;1.605;17;0.66
10763;70;13.49;13;0.27
10764;31;2.218;9;0.78
10765;1;3.587;6;0.66
10766;72;6.918;21;0.71
10767;40;6.414;6;0.32
10768;39;3.397;13;0.23
10769;22;7.426;12;0.39
10770;60;7.908;8;0.75
10771;60;4.572;10;0.33
10772;31;4.121;22;0.71
10773;67;2.502;25;0.87
10774;22;10.48;13;0.49
10775;2;1.984;17;0.72
10776;54;5.234;22;0.44
10777;14;6.450;24;0.21
10778;18;0.29;8;0.81
10779;45;5.036;16;0.9
10780;16;1.74;8;0.47
10781;53;0.114;15;0.2
10782;62;11.79;25;0.48
10783;29;8.892;6;0.87
10784;33;1.704;11;0.64
10785;60;7.450;21;0.33
10786;58;3.417;25;0.51
10787;11;5.028;12;0.56
10788;71;2.511;21;0.84
10789;26;1.30;10;0.65
10790;44;9.958;8;0.17
10791;2;7.172;8;0.35
10792;10;11.76;8;0.7
10793;31;11.57;7;0.89
10794;62;14.06;22;0.52
10795;13;0.937;7;0.79
10796;33;4.400;7;0.41
10797;20;10.98;16;0.44
10798;44;0.957;21;0.56
10799;75;0.943;11;0.44
10800;36;10.17;7;0.65
10801;53;2.233;19;0.68
10802;28;8.766;24;0.24
10803;65;7.861;9;0.15
10804;48;6.093;12;0.67
10805;55;3.954;20;0.85
10806;13;11.34;23;0.61
10807;4;2.745;6;0.44
10808;21;2.261;13;0.4
10809;22;0.428;13;0.79
10810;58;2.211;7;0.47
10811;46;12.20;13;0.11
10812;68;0.606;19;0.11
10813;73;6.368;5;0.55
10814;68;10.98;20;0.34
10815;50;5.874;14;0.11
10816;20;4.29;20;0.16
10817;77;0.896;18;0.72
10818;54;2.000;14;0.29
10819;66;11.70;6;0.46
10820;42;0.514;14;0.59
10821;36;8.849;8;0.44
10822;15;3.699;13;0.81
10823;3;15.69;22;0.44
10824;69;10.91;13;0.64
10825;32;6.157;8;0.56
10826;32;0.629;15;0.45
10827;64;2.351;6;0.68
10828;34;11.83;19;0.37
10829;72;2.644;25;0.32
10830;72;0.362;21;0.67
10831;11;5.85;5;0.32
10832;75;0.17;23;0.69
10833;65;6.573;14;0.82
10834;27;5.909;25;0.82
10835;31;9.120;14;0.29
10836;31;9.987;13;0.12
10837;77;0.95;14;0.38
10838;26;14.24;19;0.74
10839;7;9.116;9;0.72
10840;23;3.014;18;0.28
10841;30;0.72;24;0.19
10842;31;5.110;18;0.29
10843;60;2.261;24;0.6
10844;34;4.934;15;0.76
10845;42;2.11;6;0.83
10846;21;0.65;18;0.36
10847;36;1.507;21;0.71
