OrderID;CustomerID;EmployeeID;ContactTitle;OrderDate;RequiredDate;ShippedDate;ShipVia;Freight;ShipName;ShipAddress;ShipCity;ShipRegion;ShipPostalCode;ShipCountry
NULL;ALFKI;1;Lorem ipsum;2015.03.17 17:25;2015.12.24 21:28;2015.08.14 22:46;2;6;lacus. Quisque purus sapien,;"Ap #666-239 Curae; Street";Södertälje;Stockholms län;72853;French Guiana
NULL;ANATR;1;Lorem;2015.05.14 21:35;2015.07.31 7:07;2015.09.19 21:20;1;70;dui, nec tempus mauris erat;P.O. Box 752, 5937 Lorem Rd.;Assen;Dr;9644;Niger
NULL;ANTON;2;Lorem;2015.01.26 5:49;2015.09.18 7:18;2015.09.23 14:15;2;49;hendrerit consectetuer, cursus;Ap #250-6048 Libero Avenue;Hamilton;VIC;4820;Ecuador
NULL;AROUT;3;Lorem;2015.04.26 10:11;2015.10.21 1:41;2015.08.30 1:11;3;5;hendrerit;3403 Nonummy. St.;Istanbul;Ist;21509;Barbados
NULL;BERGS;2;Lorem ipsum;2015.04.07 15:59;2015.10.22 1:01;2015.07.03 13:56;2;40;a, magna.;4380 Ut Rd.;Camarones;XV;5317;United States
NULL;BLAUS;5;Lorem ipsum dolor;2015.04.02 7:17;2015.10.12 12:20;2015.09.30 2:19;2;47;vitae;674-9185 Netus Road;Alacant;Comunitat Valenciana;73798;Macedonia
NULL;BLONP;5;Lorem ipsum;2015.01.29 12:06;2015.12.18 6:02;2015.08.05 9:11;1;13;et;770-300 Velit. Rd.;Morwell;Victoria;75672;Iceland
NULL;BOLID;6;Lorem ipsum dolor;2015.04.25 20:08;2015.09.01 12:19;2015.07.13 15:44;2;14;est, congue;P.O. Box 795, 5756 Aliquam Rd.;Vienna;Vienna;2026;South Sudan
NULL;BONAP;5;Lorem;2015.06.28 0:46;2015.08.27 22:38;2015.08.10 6:52;3;53;magna. Lorem ipsum dolor sit;8162 Ut Road;Vienna;Vienna;89621;Myanmar
NULL;BOTTM;7;Lorem ipsum;2015.05.24 19:46;2015.08.23 6:23;2015.08.18 14:56;3;71;libero;896-7958 Nibh Ave;Berlin;BE;52-864;Turkmenistan
NULL;BSBEV;6;Lorem;2015.05.06 7:34;2015.12.14 21:54;2015.08.05 11:55;2;74;arcu. Morbi sit amet;3089 Arcu Av.;Thorold;Ontario;875407;Nicaragua
NULL;CACTU;4;Lorem ipsum;2015.04.03 16:23;2015.07.08 2:27;2015.07.12 3:39;1;68;augue ac;7396 Dolor. Road;Viano;ERM;782411;Greenland
NULL;CENTC;5;Lorem ipsum dolor;2015.04.15 21:17;2015.11.18 14:01;2015.08.05 15:44;2;53;pede sagittis;1607 Phasellus Rd.;Saguenay;Quebec;2295;United States Minor Outlying Islands
NULL;CHOPS;2;Lorem ipsum dolor;2015.06.17 4:56;2015.07.10 12:38;2015.08.10 12:12;2;44;Phasellus;Ap #384-8572 Maecenas St.;Schönebeck;Saxony-Anhalt;G85 6OJ;Saint Barthélemy
NULL;COMMI;8;Lorem ipsum dolor;2015.04.18 23:50;2015.09.14 12:47;2015.07.29 13:23;1;79;metus. Aenean;6365 Purus. Av.;Monfumo;VEN;3386MN;Zambia
NULL;CONSH;7;Lorem;2015.01.30 1:02;2015.07.06 12:28;2015.08.17 4:47;1;89;in;130-1067 Elit. Av.;Saint-Malo;BR;DG2 1FT;Tuvalu
NULL;DRACD;3;Lorem ipsum dolor;2015.01.21 13:24;2015.12.22 20:11;2015.09.27 11:30;1;71;risus. Donec nibh enim, gravida;P.O. Box 711, 9155 Risus Rd.;Curacaví;Metropolitana de Santiago;83853;Korea, South
NULL;DUMON;9;Lorem;2015.05.18 11:48;2015.11.20 13:28;2015.08.11 2:56;3;34;velit. Pellentesque ultricies;Ap #107-4117 Magna. St.;Lacombe County;Alberta;40258;Lithuania
NULL;EASTC;3;Lorem ipsum dolor;2015.01.17 1:23;2015.10.10 8:16;2015.07.17 7:05;3;17;libero. Donec consectetuer mauris id;P.O. Box 959, 439 Ac St.;Cáceres;Extremadura;17869-426;Marshall Islands
NULL;ERNSH;3;Lorem ipsum dolor;2015.06.20 13:54;2015.10.28 13:32;2015.07.28 0:46;2;11;eleifend egestas. Sed pharetra,;Ap #855-524 Mus. St.;Pembroke;PE;70309;Bangladesh
NULL;FAMIA;9;Lorem ipsum dolor;2015.05.07 1:55;2015.11.12 17:27;2015.08.19 16:36;1;76;Vestibulum ut;P.O. Box 486, 5624 Libero. Road;Osogbo;Osun;77232;Algeria
NULL;FISSA;5;Lorem ipsum;2015.05.28 15:46;2015.10.27 20:04;2015.06.30 2:09;1;70;dolor egestas;P.O. Box 414, 9762 Rhoncus. St.;Colombes;Île-de-France;2325;Turkey
NULL;FOLIG;7;Lorem ipsum dolor;2015.02.01 5:23;2015.11.26 1:46;2015.09.18 15:35;2;90;sem magna nec;752-5147 Metus. St.;Zaanstad;N.;5590;Portugal
NULL;FOLKO;8;Lorem;2015.01.27 9:47;2015.09.17 2:39;2015.07.13 16:26;2;1;porta;6689 Lorem St.;Vienna;Vienna;1794;Viet Nam
NULL;FRANK;7;Lorem;2015.05.28 0:54;2015.12.24 23:22;2015.08.31 8:30;2;100;tempor augue;P.O. Box 449, 8946 Eu Av.;Anghiari;Toscana;9939;Senegal
NULL;FRANR;8;Lorem ipsum;2015.02.02 8:27;2015.09.10 5:21;2015.07.15 23:17;2;77;lobortis;874-868 Dignissim Rd.;Broken Arrow;OK;7264;Canada
NULL;FRANS;3;Lorem;2015.04.10 13:48;2015.10.06 19:58;2015.08.06 14:41;1;68;Pellentesque tincidunt;P.O. Box 124, 9494 Ullamcorper Street;Carapicuíba;São Paulo;433009;Western Sahara
NULL;FURIB;4;Lorem ipsum;2015.02.06 16:26;2015.10.11 13:16;2015.08.03 10:34;3;74;lectus;5145 In St.;Zierikzee;Zeeland;613531;Turks and Caicos Islands
NULL;GALED;1;Lorem ipsum;2015.05.13 21:48;2015.09.09 21:05;2015.09.16 2:39;1;41;semper et,;Ap #433-3311 Nascetur Rd.;Vallenar;III;51201;Somalia
NULL;GODOS;4;Lorem ipsum dolor;2015.03.17 3:53;2015.07.16 7:24;2015.08.13 2:25;2;91;tempor erat neque non;8964 Rhoncus. Avenue;Aurillac;Auvergne;25-677;Nepal
NULL;GOURL;5;Lorem;2015.03.06 9:41;2015.12.23 22:20;2015.07.10 2:08;1;21;porta elit, a feugiat tellus;642-9207 Orci St.;Vico nel Lazio;Lazio;55-655;Angola
NULL;GREAL;9;Lorem ipsum;2015.06.09 20:19;2015.12.07 4:17;2015.07.19 10:25;1;43;euismod in,;699 Nibh. St.;Camaçari;Bahia;15308;Syria
NULL;GROSR;8;Lorem ipsum dolor;2015.06.07 3:43;2015.10.04 22:28;2015.07.31 12:54;3;94;urna. Nunc;P.O. Box 455, 3115 Ante. St.;Zoetermeer;Zuid Holland;1393;Hong Kong
